diagnosis,precautions
Fungal infection,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Allergy,"allergy-proof your home, avoid allergens, use air purifiers, take prescribed medications, keep windows closed during high pollen seasons"
GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy"
Drug Reaction,"avoid known allergens, read medication labels carefully, inform doctor about all medications, monitor for side effects, seek immediate help for severe reactions"
Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
AIDS,"avoid open cuts, wear ppe if possible, consult doctor, follow up"
Diabetes ,"have balanced diet, exercise, consult doctor, follow up"
Gastroenteritis,"stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
Bronchial Asthma,"switch to loose cloothing, take deep breaths, get away from trigger, seek help"
Hypertension ,"meditation, salt baths, reduce stress, get proper sleep"
Migraine,"meditation, reduce stress, use poloroid glasses in sun, consult doctor"
Cervical spondylosis,"use heating pad or cold pack, exercise, take otc pain reliver, consult doctor"
Paralysis (brain hemorrhage),"massage, eat healthy, exercise, consult doctor"
Jaundice,"drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication"
Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out"
Chicken pox,"use neem in bathing , consume neem leaves, take vaccine, avoid public places"
Dengue,"drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated"
Typhoid,"eat high calorie vegitables, antiboitic therapy, consult doctor, medication"
hepatitis A,"Consult nearest hospital, wash hands through, avoid fatty spicy food, medication"
Hepatitis B,"consult nearest hospital, vaccination, eat healthy, medication"
Hepatitis C,"Consult nearest hospital, vaccination, eat healthy, medication"
Hepatitis D,"consult doctor, medication, eat healthy, follow up"
Hepatitis E,"stop alcohol consumption, rest, consult doctor, medication"
Alcoholic hepatitis,"stop alcohol consumption, consult doctor, medication, follow up"
Tuberculosis,"cover mouth, consult doctor, medication, rest"
Common Cold,"drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check"
Pneumonia,"consult doctor, medication, rest, follow up"
Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice"
Heart attack,"maintain a healthy diet, exercise regularly, avoid smoking, manage stress, get regular check-ups"
Varicose veins,"lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long"
Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep"
Hyperthyroidism,"eat healthy, massage, use lemon balm, take radioactive iodine treatment"
Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor"
Osteoarthristis,"acetaminophen, consult nearest hospital, follow up, salt baths"
Arthritis,"exercise, use hot and cold therapy, try acupuncture, massage"
(vertigo) Paroymsal  Positional Vertigo,"lie down, avoid sudden change in body, avoid abrupt head movment, relax"
Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products"
Urinary tract infection,"drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics"
Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths"
Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor"
